Marca temporal,Nombre y Apellidos,Departamento,Fecha Acreditacion,Docencia en:,Investigación en:,Página web,Foto
22/05/2025 12:33:14,Salvador Luna Ramírez,Ingeniería de Comunicaciones,29/05/2024,Telecomunicación,Optimización de redes móviles con IA,,https://drive.google.com/open?id=1Ed5uwlJ94uaLDHprzERCN2m6wiiC6N7Z
22/05/2025 12:42:53,Ana Almansa Martínez,Comunicación Audiovisual y Publicidad,24/03/2025,Comunicación ,"Dirección de Comunicación, Relaciones Públicas, Comunicación Política ",,https://drive.google.com/open?id=1TCRSChQXNBbf3B1rg6l0dx22ZSYa_-LX
22/05/2025 12:44:49,Alberto Daunis Rodriguez ,Derecho publico ,4/06/2024,Derecho penal ,Derecho penal ,,https://drive.google.com/open?id=12QLUlqsu-kfFnzMgaIAMu03S4s8lrVXd
22/05/2025 13:03:18,Javier Cámara Moreno,Lenguajes y Ciencias de la Computación,21/05/2024,Ingeniería del Software,"Sistemas Autónomos y Adaptativos, Arquitectura Software, Métodos Formales",https://javier-camara.github.io/,https://drive.google.com/open?id=1DEY3Gogj17EKlt116B18kPxoQgqR5_Vs
22/05/2025 14:29:12,Alicia Triviño Cabrera,Ingeniería Eléctrica,11/07/2024,Escuela de Ingenierías Industriales,Transferencia inalámbrica de potencia,,https://drive.google.com/open?id=1iLcGNrkaHZk0587MjPjK7ruKCDNoXeIk
22/05/2025 15:08:13,Ismael Navas Delgado,Lneguajes y Ciencias de la Computación,24/06/2024,Bases de Datos,Gestión e Integración de Datos,https://ismaelnavas.es/,https://drive.google.com/open?id=1TZ8QDvstsh2rKSo9I-N2CR84MNLx6OC_
22/05/2025 15:18:07,Laura Triviño Cabrera,"Didáctica de la Matemática, de las Ciencias Sociales y Experimentales",20/01/2025,Didáctica de las Ciencias Sociales ,Teoría y didáctica del arte feminista ,https://dialnet.unirioja.es/servlet/autor?codigo=2137378,https://drive.google.com/open?id=1OXVYhF1mjuDCBKw2mIB5XEntb2-4Zuno
22/05/2025 15:28:36,Napoleón Pérez Farinós ,Salud Pública y Psiquiatría,25/09/2024,Salud Pública,Prevención de la obesidad infantil. Prevención de las enfermedades cardiovasculares.,,https://drive.google.com/open?id=12IKfYSq_WZ56Fa1UrLewx5hcAynaZ4GF
22/05/2025 15:48:30,Ernesto González Mesa,Especialidades Quirúrgicas. Bioquímica e Inmunología ,30/05/2024,Obstetricia y Ginecología ,"Medicina maternofetal, epigenética, enfermedades de la mujer y salud reproductiva'",,https://drive.google.com/open?id=1CsF7yViApntftzql1_94uwJ2dlVb4LtN
22/05/2025 15:55:33,Alfonso Castillo Rodríguez ,"Didáctica de Las Lenguas, las Artes y el Deporte",26/04/2024,Didáctica de la Expresión Corporal,Evaluación Psico-Físico-Fisiológica ,https://portaldelainvestigacion.uma.es/investigadores/1240529/detalle,https://drive.google.com/open?id=1_gWWf1AC21VFx9BD3GpJTI_VSWN9RMtZ
22/05/2025 15:55:42,Manuel González Sánchez,Fisioterapia,22/07/2024,Fisioterapia,Evaluación clínica del paciente,,https://drive.google.com/open?id=1HIKjwcEYQELj2UnpJD8DUjaQ45L-FO5c
22/05/2025 15:59:37,Juan J. Leiva Olivencia,Didáctica y Organización Educativa,19/02/2025,Didáctica y Organización Escolar,Educación inclusiva,https://dialnet.unirioja.es/servlet/autor?codigo=860588,https://drive.google.com/open?id=1V_T-hGcFbXQ7gdXMkHOg5u-8tB376-JI
22/05/2025 16:12:16,Tomás Morales de Luna,"Análisis Mat., Estad. e IO y Matemática Aplicada",17/09/2024,Matemática Aplicada,Modelización y simulación de flujos geofísicos y sistemas hiperbólicos no conservativos ,edanya.uma.es/tmorales,https://drive.google.com/open?id=1PhH42hduxZj04HzVhYNO8xpEDPM6xQlD
22/05/2025 17:00:45,Emilio Ruiz Reina,Física Aplicada II,28/10/2024,Informática,Física computacional,https://portaldelainvestigacion.uma.es/investigadores/1241991/detalle,https://drive.google.com/open?id=1AGFxUyG12svt-KXItkEizL5fq_ehsSGj
22/05/2025 17:55:23,María Isabel Romero Ruiz ,"Filología inglesa, francesa y alemana",8/04/2024,"Filología inglesa, historia y cultura británica","Historia y literatura británica del siglo XIX, literatura y cultura neo-victoriana",,https://drive.google.com/open?id=1jFQAWw7ONQDDoq2cU2Hl9qUjEKch1IcE
22/05/2025 18:02:00,Antonio Moreno Ortiz,"Filología Inglesa, Francesa y Alemana",22/07/2024,Filología Inglesa,Lingüística Computacional,https://tecnolengua.uma.es,https://drive.google.com/open?id=1mThg4wYGbeQF9HL0y7Rkt_QymQYGui4v
22/05/2025 18:02:37,Jorge Macías Sánchez,"Análisis Matemático, Estadística e Investigación Operativa y Matemática Aplicada",22/12/2024,"Análisis Numérico, Modelos Matemáticos, Métodos Numéricos",Simulación Numérica de Fluidos Goefísicos,http://u.uma.es/f9p/,https://drive.google.com/open?id=1RJaYwMBWSnONITSN5fO3X3yq6VPnuXKa
22/05/2025 18:12:53,María Angeles Peláez Fernández,"Psicología Social, Trabajo Social y Servicios Sociales, y Antropología Social",27/06/2024,el área de Psicología Social,área de Psicología Social,https://scholar.google.es/citations?user=GRvdg6UAAAAJ&hl=es,https://drive.google.com/open?id=1Ygbo-TCc3veh0csWs4GZVopVZ1R1Nibc
22/05/2025 18:15:49,Juan Salvador Victoria Mas,Comunicación Audiovisual y Publicidad,18/07/2024,Comunicación Audiovisual y Publicidad,Comunicación Audiovisual y Publicidad,https://www.linkedin.com/in/juan-salvador-victoria-b64a51/,https://drive.google.com/open?id=1tKpMVMnO34YEvzHJ9DYNaUXcOXJUujMx
22/05/2025 20:33:24,María Belén González Fernández,Derecho Privado Especial,17/06/2024,Derecho Mercantil,Derecho Mercantil,,https://drive.google.com/open?id=1byEQsb_AO4zrIGkBZmhT8SEEj6YvxZ2w
22/05/2025 21:25:40,Francisco Javier Cañete Corripio,Ingeniería de Comunicaciones,18/07/2024,Ingeniería de Telecomunicación: Comunicaciones digitales ,Procesado digital de la señal en comunicaciones,https://portaldelainvestigacion.uma.es/investigadores/1240366/detalle,https://drive.google.com/open?id=1TcJfBdMbXci7FY32a4sVjjChkC0v9a5v
22/05/2025 22:53:19,Laura Esteban Segura,"Filología Inglesa, Francesa y Alemana",17/10/2024,Lengua y lingüística inglesas,Historia de la lengua inglesa,,https://drive.google.com/open?id=1OQ7VT8ER1p1puULfs_AEmda_7zsUSBGx
23/05/2025 10:12:53,Cristina Toledo Báez,Traducción e Interpretación (lengua inglesa),18/10/2024,"Traducción científico-técnica, traducción especializada",Tecnologías de la traducción,https://portaldelainvestigacion.uma.es/investigadores/1241930/detalle,https://drive.google.com/open?id=11U7YHDSL4C3hL6ITASaAPqCtwiUwyNYg
23/05/2025 12:14:21,Antonio J. Doménech del Río,Ciencias Históricas,6/03/2024,Estudios de Asia Oriental,Estudios Coreanos,https://asiaoriental.uma.es/antonio-j-domenech-del-rio/,https://drive.google.com/open?id=1Rq1R_8_XiDcIzTggnFq3vraLex0bNIpW
23/05/2025 12:42:18,Cristina Castillo Rodríguez,"Didáctica de las Lenguas, las Artes y el Deporte",25/02/2025,Didáctica de la Lengua y la Literatura (Inglés),Tecnología emergente y metodologías activas aplicadas a la enseñanza de lenguas extranjeras,https://www.researchgate.net/profile/Cristina-Castillo-Rodriguez,https://drive.google.com/open?id=1__eSaYZHp2dMXPAdDOKWgYsQ1fCAHYbg
23/05/2025 12:48:22,María Mercedes Enríquez Aranda,Traducción e Interpretación,8/04/2024,Traducción e interpretación (lengua inglesa),"Traducción editorial, traducción audiovisual, accesibilidad a los medios y didáctica de la traducción",https://portaldelainvestigacion.uma.es/investigadores/1240228/detalle,https://drive.google.com/open?id=1g_mOxOZ6qjBXygcERDMzg9eE9xUylopZ
23/05/2025 13:19:44,"Isabel Grana,Gil","Teoría e Historia de la Educacion, Pedagogía,Social y MIDE",26/06/2024,Historia de la Educación,Historia de la Educación,,https://drive.google.com/open?id=1ugRUNKc31TK7tbEaSdqZsDNLsRF9nobT
23/05/2025 14:45:34,Yolanda De Lucchi López-Tapia,"Ciencia Política, Derecho Internacional Puúblico y Derecho Procesal",2/04/2024,Derecho Procesal,Derecho Procesal,,https://drive.google.com/open?id=1PRxqL5HzfZuxfHMRnSAt4W0jIMmJcD5X
23/05/2025 15:08:34,Francisco Luna Valero,Lenguajes y Ciencias de la Computación,6/03/2024,Telecomunicación,"Optimización multi-objetivo, paralelismo",,https://drive.google.com/open?id=1TocbjzTYErZiQgdpq3v0BekfW0RRCAEG
23/05/2025 15:20:20,Jorge Munilla,Ingeniería de Comunicaciones,6/03/2024,"Tratamiento Digital de Voz e Imagen, Procesado y Masterización y Circuitos y Sistemas",Inteligencia Artificial y Ciberseguridad,,https://drive.google.com/open?id=1oddg9ydJmnKJhCKCWWqruc4qV0aauH-k
23/05/2025 15:27:15,Nieves Jiménez Carra,Traducción e Interpretación,19/12/2024,Traducción e Interpretación (lengua alemana),Traducción audiovisual y traducción literaria,https://portaldelainvestigacion.uma.es/investigadores/1241660/detalle,https://drive.google.com/open?id=1ZrNeMw8uCqL4Y79fs0mo8vmBW1mRyHR8
23/05/2025 16:43:50,Mónica Pinto,Lenguajes y Ciencias de la Computación,24/04/2024,Ingeniería del Software,"Green Software Engineering, Software Product Lines",https://portaldelainvestigacion.uma.es/investigadores/1240295/detalle,https://drive.google.com/open?id=12hxV03UllKy-8gkkJhGnL6QIWFD-nltU
23/05/2025 19:54:35,Antonio Jurado Navas,Ingeniería de Comunicaciones,21/10/2024,Ingeniería de Telecomunicación - Procesado de señal y Centros de Producción Audiovisual,"Comunicaciones por satélite, comunicaciones cuánticas y comunicaciones semánticas",https://ajuradonavas.eu/,https://drive.google.com/open?id=1cd-5ZrpndHjK7WRPpuNp-thzYuC8EsXx
23/05/2025 20:37:02,Francisco Javier Martos Ramos,"Ingeniería Mecánica, Térmica y de Fluidos",12/03/2024,Termotecnia,Emisiones de Motores Térmicos,,https://drive.google.com/open?id=1vj4s0s8oXhLsCfgHXFN9nXWiHik64Csj
23/05/2025 20:40:10,Francisco Javier Martos Ramos,"Ingeniería Mecánica, Térmica y de Fluidos",12/03/2024,Termotecnia,Emisiones de Motores Térmicos,,https://drive.google.com/open?id=16S0CICuobEluLVXkp0Mr2Nxafk8UAlUL
23/05/2025 22:59:40,Sonia Ríos Moyano,Historia del Arte,17/04/2024,Historia del Arte,Diseño industrial y gráfico ,https://portaldelainvestigacion.uma.es/investigadores/1240894/detalle,https://drive.google.com/open?id=1rqkoIT8meZmOGtxAAkvjfgxkRFoIeVSy
24/05/2025 0:03:46,Germán Gémar Castillo,Economía y Administración de Empresas,27/06/2024,Organización de Empresas,Organización de Empresas,,https://drive.google.com/open?id=11qgsgS0ceAI8edj5XPZ36N_32Hqh67Ej
24/05/2025 9:20:43,Antonio López Arquillos,Economía y Administración de Empresas,7/10/2024,Prevención de Riesgos Laborales y Organización de Empresas,Prevención de Riesgos Laborales y Nuevas Tecnologías IoT,https://scholar.google.es/citations?user=zhoyHnAAAAAJ&hl=es,https://drive.google.com/open?id=1Vn7YAggSK9DHCOYv9dNY3aPBnK3xoih0
24/05/2025 12:14:24,Francisco R. Villatoro,Lenguajes y Ciencias de la Computación,30/01/2025,Ciencia de la Computación e Inteligencia Artificial,"Ciencias Computacionales en Matemáticas, Física e Ingeniería",,https://drive.google.com/open?id=1XBUdbM37jDJ7dTsEyz541jThNcVTuXyK
25/05/2025 18:33:45,Ignacio Calderón Almendros,"Teoría e Historia de la Educación, Pedagogía Social y Métodos de Investigación y Diagnóstico en Educación",19/02/2025,Ciencias de la Educación ,Educación Inclusiva,www.ignaciocalderon.uma.es,https://drive.google.com/open?id=1WC_c9RGzSjZxYsgEBdK2JH6twkIJQdbf
25/05/2025 22:50:09,María Rubio Misas,Finanzas y Contabilidad,22/10/2024,Finanzas y Seguros,Finanzas y Seguros,https://www.uma.es/departamento-de-finanzas-y-contabilidad/info/115099/maria-rubio-misas/,https://drive.google.com/open?id=1TrQbHMCj-jARRg5-HTWXYsTz7_xK8Sya